 # IDSA ray
 # dr [km]   dr[km]  Rin[km]  R[km]  Rout[km]
   0.6981439E+00   0.6981439E+00   0.1502337E+03   0.1505828E+03   0.1509319E+03
   0.7038400E+00   0.7038400E+00   0.1509319E+03   0.1512838E+03   0.1516357E+03
   0.7095825E+00   0.7095825E+00   0.1516357E+03   0.1519905E+03   0.1523453E+03
   0.7153719E+00   0.7153719E+00   0.1523453E+03   0.1527030E+03   0.1530607E+03
   0.7212085E+00   0.7212085E+00   0.1530607E+03   0.1534213E+03   0.1537819E+03
   0.7270928E+00   0.7270928E+00   0.1537819E+03   0.1541454E+03   0.1545090E+03
   0.7330250E+00   0.7330250E+00   0.1545090E+03   0.1548755E+03   0.1552420E+03
   0.7390057E+00   0.7390057E+00   0.1552420E+03   0.1556115E+03   0.1559810E+03
   0.7450352E+00   0.7450352E+00   0.1559810E+03   0.1563535E+03   0.1567261E+03
   0.7511138E+00   0.7511138E+00   0.1567261E+03   0.1571016E+03   0.1574772E+03
   0.7572420E+00   0.7572420E+00   0.1574772E+03   0.1578558E+03   0.1582344E+03
   0.7634203E+00   0.7634203E+00   0.1582344E+03   0.1586161E+03   0.1589978E+03
   0.7696489E+00   0.7696489E+00   0.1589978E+03   0.1593827E+03   0.1597675E+03
   0.7759284E+00   0.7759284E+00   0.1597675E+03   0.1601554E+03   0.1605434E+03
   0.7822591E+00   0.7822591E+00   0.1605434E+03   0.1609345E+03   0.1613257E+03
   0.7886414E+00   0.7886414E+00   0.1613257E+03   0.1617200E+03   0.1621143E+03
   0.7950759E+00   0.7950759E+00   0.1621143E+03   0.1625118E+03   0.1629094E+03
   0.8015628E+00   0.8015628E+00   0.1629094E+03   0.1633102E+03   0.1637109E+03
   0.8081026E+00   0.8081026E+00   0.1637109E+03   0.1641150E+03   0.1645190E+03
   0.8146958E+00   0.8146958E+00   0.1645190E+03   0.1649264E+03   0.1653337E+03
   0.8213428E+00   0.8213428E+00   0.1653337E+03   0.1657444E+03   0.1661551E+03
   0.8280441E+00   0.8280441E+00   0.1661551E+03   0.1665691E+03   0.1669831E+03
   0.8348000E+00   0.8348000E+00   0.1669831E+03   0.1674005E+03   0.1678179E+03
   0.8416110E+00   0.8416110E+00   0.1678179E+03   0.1682387E+03   0.1686595E+03
   0.8484776E+00   0.8484776E+00   0.1686595E+03   0.1690838E+03   0.1695080E+03
   0.8554002E+00   0.8554002E+00   0.1695080E+03   0.1699357E+03   0.1703634E+03
   0.8623793E+00   0.8623793E+00   0.1703634E+03   0.1707946E+03   0.1712258E+03
   0.8694153E+00   0.8694153E+00   0.1712258E+03   0.1716605E+03   0.1720952E+03
   0.8765088E+00   0.8765088E+00   0.1720952E+03   0.1725335E+03   0.1729717E+03
   0.8836601E+00   0.8836601E+00   0.1729717E+03   0.1734136E+03   0.1738554E+03
   0.8908698E+00   0.8908698E+00   0.1738554E+03   0.1743008E+03   0.1747463E+03
   0.8981383E+00   0.8981383E+00   0.1747463E+03   0.1751953E+03   0.1756444E+03
   0.9054661E+00   0.9054661E+00   0.1756444E+03   0.1760971E+03   0.1765499E+03
   0.9128536E+00   0.9128536E+00   0.1765499E+03   0.1770063E+03   0.1774627E+03
   0.9203015E+00   0.9203015E+00   0.1774627E+03   0.1779229E+03   0.1783830E+03
   0.9278101E+00   0.9278101E+00   0.1783830E+03   0.1788469E+03   0.1793108E+03
   0.9353800E+00   0.9353800E+00   0.1793108E+03   0.1797785E+03   0.1802462E+03
   0.9430116E+00   0.9430116E+00   0.1802462E+03   0.1807177E+03   0.1811892E+03
   0.9507055E+00   0.9507055E+00   0.1811892E+03   0.1816646E+03   0.1821399E+03
   0.9584622E+00   0.9584622E+00   0.1821399E+03   0.1826192E+03   0.1830984E+03
   0.9662822E+00   0.9662822E+00   0.1830984E+03   0.1835815E+03   0.1840647E+03
   0.9741660E+00   0.9741660E+00   0.1840647E+03   0.1845517E+03   0.1850388E+03
   0.9821141E+00   0.9821141E+00   0.1850388E+03   0.1855299E+03   0.1860209E+03
   0.9901270E+00   0.9901270E+00   0.1860209E+03   0.1865160E+03   0.1870111E+03
   0.9982053E+00   0.9982053E+00   0.1870111E+03   0.1875102E+03   0.1880093E+03
   0.1006350E+01   0.1006350E+01   0.1880093E+03   0.1885125E+03   0.1890156E+03
   0.1014560E+01   0.1014560E+01   0.1890156E+03   0.1895229E+03   0.1900302E+03
   0.1022838E+01   0.1022838E+01   0.1900302E+03   0.1905416E+03   0.1910530E+03
   0.1031183E+01   0.1031183E+01   0.1910530E+03   0.1915686E+03   0.1920842E+03
   0.1039596E+01   0.1039596E+01   0.1920842E+03   0.1926040E+03   0.1931238E+03
   0.1048078E+01   0.1048078E+01   0.1931238E+03   0.1936478E+03   0.1941719E+03
   0.1056629E+01   0.1056629E+01   0.1941719E+03   0.1947002E+03   0.1952285E+03
   0.1065250E+01   0.1065250E+01   0.1952285E+03   0.1957611E+03   0.1962938E+03
   0.1073942E+01   0.1073942E+01   0.1962938E+03   0.1968307E+03   0.1973677E+03
   0.1082704E+01   0.1082704E+01   0.1973677E+03   0.1979091E+03   0.1984504E+03
   0.1091537E+01   0.1091537E+01   0.1984504E+03   0.1989962E+03   0.1995419E+03
   0.1100443E+01   0.1100443E+01   0.1995419E+03   0.2000922E+03   0.2006424E+03
   0.1109421E+01   0.1109421E+01   0.2006424E+03   0.2011971E+03   0.2017518E+03
   0.1118473E+01   0.1118473E+01   0.2017518E+03   0.2023110E+03   0.2028703E+03
   0.1127599E+01   0.1127599E+01   0.2028703E+03   0.2034341E+03   0.2039979E+03
   0.1136798E+01   0.1136798E+01   0.2039979E+03   0.2045663E+03   0.2051347E+03
   0.1146073E+01   0.1146073E+01   0.2051347E+03   0.2057077E+03   0.2062808E+03
   0.1155424E+01   0.1155424E+01   0.2062808E+03   0.2068585E+03   0.2074362E+03
   0.1164851E+01   0.1164851E+01   0.2074362E+03   0.2080186E+03   0.2086010E+03
   0.1174355E+01   0.1174355E+01   0.2086010E+03   0.2091882E+03   0.2097754E+03
   0.1183936E+01   0.1183936E+01   0.2097754E+03   0.2103674E+03   0.2109593E+03
   0.1193596E+01   0.1193596E+01   0.2109593E+03   0.2115561E+03   0.2121529E+03
   0.1203334E+01   0.1203334E+01   0.2121529E+03   0.2127546E+03   0.2133562E+03
   0.1213152E+01   0.1213152E+01   0.2133562E+03   0.2139628E+03   0.2145694E+03
   0.1223050E+01   0.1223050E+01   0.2145694E+03   0.2151809E+03   0.2157925E+03
   0.1233029E+01   0.1233029E+01   0.2157925E+03   0.2164090E+03   0.2170255E+03
   0.1243089E+01   0.1243089E+01   0.2170255E+03   0.2176470E+03   0.2182686E+03
   0.1253231E+01   0.1253231E+01   0.2182686E+03   0.2188952E+03   0.2195218E+03
   0.1263456E+01   0.1263456E+01   0.2195218E+03   0.2201535E+03   0.2207853E+03
   0.1273764E+01   0.1273764E+01   0.2207853E+03   0.2214221E+03   0.2220590E+03
   0.1284157E+01   0.1284157E+01   0.2220590E+03   0.2227011E+03   0.2233432E+03
   0.1294634E+01   0.1294634E+01   0.2233432E+03   0.2239905E+03   0.2246378E+03
   0.1305197E+01   0.1305197E+01   0.2246378E+03   0.2252904E+03   0.2259430E+03
   0.1315846E+01   0.1315846E+01   0.2259430E+03   0.2266009E+03   0.2272589E+03
   0.1326582E+01   0.1326582E+01   0.2272589E+03   0.2279221E+03   0.2285854E+03
   0.1337405E+01   0.1337405E+01   0.2285854E+03   0.2292541E+03   0.2299228E+03
   0.1348317E+01   0.1348317E+01   0.2299228E+03   0.2305970E+03   0.2312712E+03
   0.1359318E+01   0.1359318E+01   0.2312712E+03   0.2319508E+03   0.2326305E+03
   0.1370408E+01   0.1370408E+01   0.2326305E+03   0.2333157E+03   0.2340009E+03
   0.1381589E+01   0.1381589E+01   0.2340009E+03   0.2346917E+03   0.2353825E+03
   0.1392861E+01   0.1392861E+01   0.2353825E+03   0.2360789E+03   0.2367753E+03
   0.1404225E+01   0.1404225E+01   0.2367753E+03   0.2374774E+03   0.2381796E+03
   0.1415682E+01   0.1415682E+01   0.2381796E+03   0.2388874E+03   0.2395952E+03
   0.1427233E+01   0.1427233E+01   0.2395952E+03   0.2403089E+03   0.2410225E+03
   0.1438877E+01   0.1438877E+01   0.2410225E+03   0.2417419E+03   0.2424614E+03
   0.1450617E+01   0.1450617E+01   0.2424614E+03   0.2431867E+03   0.2439120E+03
   0.1462452E+01   0.1462452E+01   0.2439120E+03   0.2446432E+03   0.2453744E+03
   0.1474384E+01   0.1474384E+01   0.2453744E+03   0.2461116E+03   0.2468488E+03
   0.1486414E+01   0.1486414E+01   0.2468488E+03   0.2475920E+03   0.2483352E+03
   0.1498541E+01   0.1498541E+01   0.2483352E+03   0.2490845E+03   0.2498338E+03
   0.1510767E+01   0.1510767E+01   0.2498338E+03   0.2505891E+03   0.2513445E+03
   0.1523094E+01   0.1523094E+01   0.2513445E+03   0.2521061E+03   0.2528676E+03
   0.1535520E+01   0.1535520E+01   0.2528676E+03   0.2536354E+03   0.2544031E+03
   0.1548048E+01   0.1548048E+01   0.2544031E+03   0.2551772E+03   0.2559512E+03
   0.1560679E+01   0.1560679E+01   0.2559512E+03   0.2567315E+03   0.2575119E+03
   0.1573412E+01   0.1573412E+01   0.2575119E+03   0.2582986E+03   0.2590853E+03
   0.1586249E+01   0.1586249E+01   0.2590853E+03   0.2598784E+03   0.2606715E+03
   0.1599191E+01   0.1599191E+01   0.2606715E+03   0.2614711E+03   0.2622707E+03
   0.1612239E+01   0.1612239E+01   0.2622707E+03   0.2630768E+03   0.2638830E+03
   0.1625393E+01   0.1625393E+01   0.2638830E+03   0.2646957E+03   0.2655084E+03
   0.1638654E+01   0.1638654E+01   0.2655084E+03   0.2663277E+03   0.2671470E+03
   0.1652024E+01   0.1652024E+01   0.2671470E+03   0.2679730E+03   0.2687990E+03
   0.1665503E+01   0.1665503E+01   0.2687990E+03   0.2696318E+03   0.2704645E+03
   0.1679091E+01   0.1679091E+01   0.2704645E+03   0.2713041E+03   0.2721436E+03
   0.1692791E+01   0.1692791E+01   0.2721436E+03   0.2729900E+03   0.2738364E+03
   0.1706602E+01   0.1706602E+01   0.2738364E+03   0.2746897E+03   0.2755430E+03
   0.1720526E+01   0.1720526E+01   0.2755430E+03   0.2764033E+03   0.2772635E+03
   0.1734563E+01   0.1734563E+01   0.2772635E+03   0.2781308E+03   0.2789981E+03
   0.1748716E+01   0.1748716E+01   0.2789981E+03   0.2798725E+03   0.2807468E+03
   0.1762983E+01   0.1762983E+01   0.2807468E+03   0.2816283E+03   0.2825098E+03
   0.1777367E+01   0.1777367E+01   0.2825098E+03   0.2833985E+03   0.2842872E+03
   0.1791868E+01   0.1791868E+01   0.2842872E+03   0.2851831E+03   0.2860790E+03
   0.1806488E+01   0.1806488E+01   0.2860790E+03   0.2869823E+03   0.2878855E+03
   0.1821227E+01   0.1821227E+01   0.2878855E+03   0.2887961E+03   0.2897068E+03
   0.1836086E+01   0.1836086E+01   0.2897068E+03   0.2906248E+03   0.2915428E+03
   0.1851066E+01   0.1851066E+01   0.2915428E+03   0.2924684E+03   0.2933939E+03
   0.1866169E+01   0.1866169E+01   0.2933939E+03   0.2943270E+03   0.2952601E+03
   0.1881395E+01   0.1881395E+01   0.2952601E+03   0.2962008E+03   0.2971415E+03
   0.1896745E+01   0.1896745E+01   0.2971415E+03   0.2980898E+03   0.2990382E+03
   0.1912220E+01   0.1912220E+01   0.2990382E+03   0.2999943E+03   0.3009504E+03
   0.1927822E+01   0.1927822E+01   0.3009504E+03   0.3019144E+03   0.3028783E+03
   0.1943551E+01   0.1943551E+01   0.3028783E+03   0.3038500E+03   0.3048218E+03
   0.1959408E+01   0.1959408E+01   0.3048218E+03   0.3058015E+03   0.3067812E+03
   0.1975394E+01   0.1975394E+01   0.3067812E+03   0.3077689E+03   0.3087566E+03
   0.1991511E+01   0.1991511E+01   0.3087566E+03   0.3097524E+03   0.3107481E+03
   0.2007760E+01   0.2007760E+01   0.3107481E+03   0.3117520E+03   0.3127559E+03
   0.2024141E+01   0.2024141E+01   0.3127559E+03   0.3137680E+03   0.3147800E+03
   0.2040656E+01   0.2040656E+01   0.3147800E+03   0.3158004E+03   0.3168207E+03
   0.2057305E+01   0.2057305E+01   0.3168207E+03   0.3178493E+03   0.3188780E+03
   0.2074090E+01   0.2074090E+01   0.3188780E+03   0.3199150E+03   0.3209521E+03
   0.2091013E+01   0.2091013E+01   0.3209521E+03   0.3219976E+03   0.3230431E+03
   0.2108073E+01   0.2108073E+01   0.3230431E+03   0.3240971E+03   0.3251512E+03
   0.2125272E+01   0.2125272E+01   0.3251512E+03   0.3262138E+03   0.3272764E+03
   0.2142612E+01   0.2142612E+01   0.3272764E+03   0.3283477E+03   0.3294190E+03
   0.2160093E+01   0.2160093E+01   0.3294190E+03   0.3304991E+03   0.3315791E+03
   0.2177717E+01   0.2177717E+01   0.3315791E+03   0.3326680E+03   0.3337569E+03
   0.2195485E+01   0.2195485E+01   0.3337569E+03   0.3348546E+03   0.3359523E+03
   0.2213398E+01   0.2213398E+01   0.3359523E+03   0.3370590E+03   0.3381657E+03
   0.2231457E+01   0.2231457E+01   0.3381657E+03   0.3392815E+03   0.3403972E+03
   0.2249663E+01   0.2249663E+01   0.3403972E+03   0.3415220E+03   0.3426469E+03
   0.2268017E+01   0.2268017E+01   0.3426469E+03   0.3437809E+03   0.3449149E+03
   0.2286522E+01   0.2286522E+01   0.3449149E+03   0.3460581E+03   0.3472014E+03
   0.2305177E+01   0.2305177E+01   0.3472014E+03   0.3483540E+03   0.3495066E+03
   0.2323985E+01   0.2323985E+01   0.3495066E+03   0.3506686E+03   0.3518306E+03
   0.2342946E+01   0.2342946E+01   0.3518306E+03   0.3530020E+03   0.3541735E+03
   0.2362062E+01   0.2362062E+01   0.3541735E+03   0.3553545E+03   0.3565356E+03
   0.2381334E+01   0.2381334E+01   0.3565356E+03   0.3577262E+03   0.3589169E+03
   0.2400763E+01   0.2400763E+01   0.3589169E+03   0.3601173E+03   0.3613177E+03
   0.2420350E+01   0.2420350E+01   0.3613177E+03   0.3625278E+03   0.3637380E+03
   0.2440097E+01   0.2440097E+01   0.3637380E+03   0.3649581E+03   0.3661781E+03
   0.2460006E+01   0.2460006E+01   0.3661781E+03   0.3674081E+03   0.3686381E+03
   0.2480077E+01   0.2480077E+01   0.3686381E+03   0.3698782E+03   0.3711182E+03
   0.2500311E+01   0.2500311E+01   0.3711182E+03   0.3723684E+03   0.3736185E+03
   0.2520711E+01   0.2520711E+01   0.3736185E+03   0.3748789E+03   0.3761392E+03
   0.2541277E+01   0.2541277E+01   0.3761392E+03   0.3774099E+03   0.3786805E+03
   0.2562011E+01   0.2562011E+01   0.3786805E+03   0.3799615E+03   0.3812425E+03
   0.2582914E+01   0.2582914E+01   0.3812425E+03   0.3825340E+03   0.3838254E+03
   0.2603988E+01   0.2603988E+01   0.3838254E+03   0.3851274E+03   0.3864294E+03
   0.2625234E+01   0.2625234E+01   0.3864294E+03   0.3877420E+03   0.3890546E+03
   0.2646652E+01   0.2646652E+01   0.3890546E+03   0.3903780E+03   0.3917013E+03
   0.2668246E+01   0.2668246E+01   0.3917013E+03   0.3930354E+03   0.3943695E+03
   0.2690016E+01   0.2690016E+01   0.3943695E+03   0.3957145E+03   0.3970596E+03
   0.2711964E+01   0.2711964E+01   0.3970596E+03   0.3984155E+03   0.3997715E+03
   0.2734090E+01   0.2734090E+01   0.3997715E+03   0.4011386E+03   0.4025056E+03
   0.2756397E+01   0.2756397E+01   0.4025056E+03   0.4038838E+03   0.4052620E+03
   0.2778886E+01   0.2778886E+01   0.4052620E+03   0.4066515E+03   0.4080409E+03
   0.2801559E+01   0.2801559E+01   0.4080409E+03   0.4094417E+03   0.4108425E+03
   0.2824416E+01   0.2824416E+01   0.4108425E+03   0.4122547E+03   0.4136669E+03
   0.2847460E+01   0.2847460E+01   0.4136669E+03   0.4150906E+03   0.4165143E+03
   0.2870692E+01   0.2870692E+01   0.4165143E+03   0.4179497E+03   0.4193850E+03
   0.2894114E+01   0.2894114E+01   0.4193850E+03   0.4208321E+03   0.4222791E+03
   0.2917727E+01   0.2917727E+01   0.4222791E+03   0.4237380E+03   0.4251969E+03
   0.2941532E+01   0.2941532E+01   0.4251969E+03   0.4266676E+03   0.4281384E+03
   0.2965532E+01   0.2965532E+01   0.4281384E+03   0.4296212E+03   0.4311039E+03
   0.2989727E+01   0.2989727E+01   0.4311039E+03   0.4325988E+03   0.4340937E+03
   0.3014120E+01   0.3014120E+01   0.4340937E+03   0.4356007E+03   0.4371078E+03
   0.3038712E+01   0.3038712E+01   0.4371078E+03   0.4386271E+03   0.4401465E+03
   0.3063504E+01   0.3063504E+01   0.4401465E+03   0.4416782E+03   0.4432100E+03
   0.3088499E+01   0.3088499E+01   0.4432100E+03   0.4447542E+03   0.4462985E+03
   0.3113698E+01   0.3113698E+01   0.4462985E+03   0.4478553E+03   0.4494122E+03
   0.3139102E+01   0.3139102E+01   0.4494122E+03   0.4509817E+03   0.4525513E+03
   0.3164713E+01   0.3164713E+01   0.4525513E+03   0.4541336E+03   0.4557160E+03
   0.3190534E+01   0.3190534E+01   0.4557160E+03   0.4573113E+03   0.4589065E+03
   0.3216565E+01   0.3216565E+01   0.4589065E+03   0.4605148E+03   0.4621231E+03
   0.3242809E+01   0.3242809E+01   0.4621231E+03   0.4637445E+03   0.4653659E+03
   0.3269266E+01   0.3269266E+01   0.4653659E+03   0.4670005E+03   0.4686352E+03
   0.3295940E+01   0.3295940E+01   0.4686352E+03   0.4702831E+03   0.4719311E+03
   0.3322831E+01   0.3322831E+01   0.4719311E+03   0.4735925E+03   0.4752539E+03
   0.3349941E+01   0.3349941E+01   0.4752539E+03   0.4769289E+03   0.4786039E+03
   0.3377273E+01   0.3377273E+01   0.4786039E+03   0.4802925E+03   0.4819812E+03
   0.3404828E+01   0.3404828E+01   0.4819812E+03   0.4836836E+03   0.4853860E+03
   0.3432607E+01   0.3432607E+01   0.4853860E+03   0.4871023E+03   0.4888186E+03
   0.3460614E+01   0.3460614E+01   0.4888186E+03   0.4905489E+03   0.4922792E+03
   0.3488848E+01   0.3488848E+01   0.4922792E+03   0.4940236E+03   0.4957681E+03
   0.3517313E+01   0.3517313E+01   0.4957681E+03   0.4975267E+03   0.4992854E+03
   0.3546011E+01   0.3546011E+01   0.4992854E+03   0.5010584E+03   0.5028314E+03
   0.3574942E+01   0.3574942E+01   0.5028314E+03   0.5046189E+03   0.5064063E+03
   0.3604110E+01   0.3604110E+01   0.5064063E+03   0.5082084E+03   0.5100104E+03
   0.3633515E+01   0.3633515E+01   0.5100104E+03   0.5118272E+03   0.5136439E+03
   0.3663160E+01   0.3663160E+01   0.5136439E+03   0.5154755E+03   0.5173071E+03
   0.3693048E+01   0.3693048E+01   0.5173071E+03   0.5191536E+03   0.5210002E+03
   0.3723179E+01   0.3723179E+01   0.5210002E+03   0.5228617E+03   0.5247233E+03
   0.3753556E+01   0.3753556E+01   0.5247233E+03   0.5266001E+03   0.5284769E+03
   0.3784180E+01   0.3784180E+01   0.5284769E+03   0.5303690E+03   0.5322611E+03
   0.3815055E+01   0.3815055E+01   0.5322611E+03   0.5341686E+03   0.5360761E+03
   0.3846182E+01   0.3846182E+01   0.5360761E+03   0.5379992E+03   0.5399223E+03
   0.3877562E+01   0.3877562E+01   0.5399223E+03   0.5418611E+03   0.5437999E+03
   0.3909199E+01   0.3909199E+01   0.5437999E+03   0.5457545E+03   0.5477091E+03
   0.3941093E+01   0.3941093E+01   0.5477091E+03   0.5496796E+03   0.5516502E+03
   0.3973248E+01   0.3973248E+01   0.5516502E+03   0.5536368E+03   0.5556234E+03
   0.4005665E+01   0.4005665E+01   0.5556234E+03   0.5576262E+03   0.5596291E+03
   0.4038347E+01   0.4038347E+01   0.5596291E+03   0.5616482E+03   0.5636674E+03
   0.4071295E+01   0.4071295E+01   0.5636674E+03   0.5657031E+03   0.5677387E+03
   0.4104513E+01   0.4104513E+01   0.5677387E+03   0.5697910E+03   0.5718432E+03
   0.4138001E+01   0.4138001E+01   0.5718432E+03   0.5739122E+03   0.5759812E+03
   0.4171762E+01   0.4171762E+01   0.5759812E+03   0.5780671E+03   0.5801530E+03
   0.4205799E+01   0.4205799E+01   0.5801530E+03   0.5822559E+03   0.5843588E+03
   0.4240114E+01   0.4240114E+01   0.5843588E+03   0.5864788E+03   0.5885989E+03
   0.4274708E+01   0.4274708E+01   0.5885989E+03   0.5907363E+03   0.5928736E+03
   0.4309585E+01   0.4309585E+01   0.5928736E+03   0.5950284E+03   0.5971832E+03
   0.4344746E+01   0.4344746E+01   0.5971832E+03   0.5993556E+03   0.6015279E+03
   0.4380194E+01   0.4380194E+01   0.6015279E+03   0.6037180E+03   0.6059081E+03
   0.4415932E+01   0.4415932E+01   0.6059081E+03   0.6081161E+03   0.6103241E+03
   0.4451961E+01   0.4451961E+01   0.6103241E+03   0.6125501E+03   0.6147760E+03
   0.4488284E+01   0.4488284E+01   0.6147760E+03   0.6170202E+03   0.6192643E+03
   0.4524903E+01   0.4524903E+01   0.6192643E+03   0.6215268E+03   0.6237892E+03
   0.4561821E+01   0.4561821E+01   0.6237892E+03   0.6260701E+03   0.6283510E+03
   0.4599041E+01   0.4599041E+01   0.6283510E+03   0.6306506E+03   0.6329501E+03
   0.4636564E+01   0.4636564E+01   0.6329501E+03   0.6352684E+03   0.6375866E+03
   0.4674393E+01   0.4674393E+01   0.6375866E+03   0.6399238E+03   0.6422610E+03
   0.4712530E+01   0.4712530E+01   0.6422610E+03   0.6446173E+03   0.6469736E+03
   0.4750979E+01   0.4750979E+01   0.6469736E+03   0.6493491E+03   0.6517245E+03
   0.4789742E+01   0.4789742E+01   0.6517245E+03   0.6541194E+03   0.6565143E+03
   0.4828821E+01   0.4828821E+01   0.6565143E+03   0.6589287E+03   0.6613431E+03
   0.4868219E+01   0.4868219E+01   0.6613431E+03   0.6637772E+03   0.6662113E+03
   0.4907938E+01   0.4907938E+01   0.6662113E+03   0.6686653E+03   0.6711193E+03
   0.4947981E+01   0.4947981E+01   0.6711193E+03   0.6735933E+03   0.6760672E+03
   0.4988351E+01   0.4988351E+01   0.6760672E+03   0.6785614E+03   0.6810556E+03
   0.5029050E+01   0.5029050E+01   0.6810556E+03   0.6835701E+03   0.6860846E+03
   0.5070082E+01   0.5070082E+01   0.6860846E+03   0.6886197E+03   0.6911547E+03
   0.5111448E+01   0.5111448E+01   0.6911547E+03   0.6937105E+03   0.6962662E+03
   0.5153151E+01   0.5153151E+01   0.6962662E+03   0.6988428E+03   0.7014193E+03
   0.5195195E+01   0.5195195E+01   0.7014193E+03   0.7040169E+03   0.7066145E+03
   0.5237582E+01   0.5237582E+01   0.7066145E+03   0.7092333E+03   0.7118521E+03
   0.5280315E+01   0.5280315E+01   0.7118521E+03   0.7144923E+03   0.7171324E+03
   0.5323396E+01   0.5323396E+01   0.7171324E+03   0.7197941E+03   0.7224558E+03
   0.5366829E+01   0.5366829E+01   0.7224558E+03   0.7251392E+03   0.7278226E+03
   0.5410616E+01   0.5410616E+01   0.7278226E+03   0.7305280E+03   0.7332333E+03
   0.5454761E+01   0.5454761E+01   0.7332333E+03   0.7359606E+03   0.7386880E+03
   0.5499266E+01   0.5499266E+01   0.7386880E+03   0.7414377E+03   0.7441873E+03
   0.5544133E+01   0.5544133E+01   0.7441873E+03   0.7469594E+03   0.7497314E+03
   0.5589367E+01   0.5589367E+01   0.7497314E+03   0.7525261E+03   0.7553208E+03
   0.5634970E+01   0.5634970E+01   0.7553208E+03   0.7581383E+03   0.7609558E+03
   0.5680945E+01   0.5680945E+01   0.7609558E+03   0.7637962E+03   0.7666367E+03
   0.5727295E+01   0.5727295E+01   0.7666367E+03   0.7695004E+03   0.7723640E+03
   0.5774024E+01   0.5774024E+01   0.7723640E+03   0.7752510E+03   0.7781380E+03
   0.5821133E+01   0.5821133E+01   0.7781380E+03   0.7810486E+03   0.7839592E+03
   0.5868627E+01   0.5868627E+01   0.7839592E+03   0.7868935E+03   0.7898278E+03
   0.5916508E+01   0.5916508E+01   0.7898278E+03   0.7927860E+03   0.7957443E+03
   0.5964780E+01   0.5964780E+01   0.7957443E+03   0.7987267E+03   0.8017091E+03
   0.6013446E+01   0.6013446E+01   0.8017091E+03   0.8047158E+03   0.8077225E+03
   0.6062509E+01   0.6062509E+01   0.8077225E+03   0.8107538E+03   0.8137850E+03
   0.6111972E+01   0.6111972E+01   0.8137850E+03   0.8168410E+03   0.8198970E+03
   0.6161839E+01   0.6161839E+01   0.8198970E+03   0.8229779E+03   0.8260588E+03
   0.6212113E+01   0.6212113E+01   0.8260588E+03   0.8291649E+03   0.8322710E+03
   0.6262797E+01   0.6262797E+01   0.8322710E+03   0.8354023E+03   0.8385337E+03
   0.6313894E+01   0.6313894E+01   0.8385337E+03   0.8416907E+03   0.8448476E+03
   0.6365408E+01   0.6365408E+01   0.8448476E+03   0.8480303E+03   0.8512131E+03
   0.6417343E+01   0.6417343E+01   0.8512131E+03   0.8544217E+03   0.8576304E+03
   0.6469701E+01   0.6469701E+01   0.8576304E+03   0.8608652E+03   0.8641001E+03
   0.6522486E+01   0.6522486E+01   0.8641001E+03   0.8673613E+03   0.8706226E+03
   0.6575703E+01   0.6575703E+01   0.8706226E+03   0.8739104E+03   0.8771983E+03
   0.6629353E+01   0.6629353E+01   0.8771983E+03   0.8805130E+03   0.8838276E+03
   0.6683441E+01   0.6683441E+01   0.8838276E+03   0.8871694E+03   0.8905111E+03
   0.6737970E+01   0.6737970E+01   0.8905111E+03   0.8938801E+03   0.8972490E+03
   0.6792944E+01   0.6792944E+01   0.8972490E+03   0.9006455E+03   0.9040420E+03
   0.6848367E+01   0.6848367E+01   0.9040420E+03   0.9074662E+03   0.9108904E+03
   0.6904242E+01   0.6904242E+01   0.9108904E+03   0.9143425E+03   0.9177946E+03
   0.6960573E+01   0.6960573E+01   0.9177946E+03   0.9212749E+03   0.9247552E+03
   0.7017363E+01   0.7017363E+01   0.9247552E+03   0.9282639E+03   0.9317725E+03
   0.7074617E+01   0.7074617E+01   0.9317725E+03   0.9353098E+03   0.9388472E+03
   0.7132338E+01   0.7132338E+01   0.9388472E+03   0.9424133E+03   0.9459795E+03
   0.7190530E+01   0.7190530E+01   0.9459795E+03   0.9495748E+03   0.9531700E+03
   0.7249196E+01   0.7249196E+01   0.9531700E+03   0.9567946E+03   0.9604192E+03
   0.7308342E+01   0.7308342E+01   0.9604192E+03   0.9640734E+03   0.9677276E+03
   0.7367969E+01   0.7367969E+01   0.9677276E+03   0.9714115E+03   0.9750955E+03
   0.7428084E+01   0.7428084E+01   0.9750955E+03   0.9788096E+03   0.9825236E+03
   0.7488688E+01   0.7488688E+01   0.9825236E+03   0.9862680E+03   0.9900123E+03
   0.7549788E+01   0.7549788E+01   0.9900123E+03   0.9937872E+03   0.9975621E+03
   0.7611385E+01   0.7611385E+01   0.9975621E+03   0.1001368E+04   0.1005173E+04
   0.7673486E+01   0.7673486E+01   0.1005173E+04   0.1009010E+04   0.1012847E+04
   0.7736093E+01   0.7736093E+01   0.1012847E+04   0.1016715E+04   0.1020583E+04
   0.7799210E+01   0.7799210E+01   0.1020583E+04   0.1024483E+04   0.1028382E+04
   0.7862843E+01   0.7862843E+01   0.1028382E+04   0.1032314E+04   0.1036245E+04
   0.7926995E+01   0.7926995E+01   0.1036245E+04   0.1040209E+04   0.1044172E+04
   0.7991670E+01   0.7991670E+01   0.1044172E+04   0.1048168E+04   0.1052164E+04
   0.8056873E+01   0.8056873E+01   0.1052164E+04   0.1056192E+04   0.1060221E+04
   0.8122608E+01   0.8122608E+01   0.1060221E+04   0.1064282E+04   0.1068343E+04
