 # IDSA ray
 # dr [km]   dr[km]  Rin[km]  R[km]  Rout[km]
   0.4882812E+00   0.4882812E+00   0.3320312E+02   0.3344727E+02   0.3369141E+02
   0.4882812E+00   0.4882812E+00   0.3369141E+02   0.3393555E+02   0.3417969E+02
   0.4882812E+00   0.4882812E+00   0.3417969E+02   0.3442383E+02   0.3466797E+02
   0.4882812E+00   0.4882812E+00   0.3466797E+02   0.3491211E+02   0.3515625E+02
   0.4882812E+00   0.4882812E+00   0.3515625E+02   0.3540039E+02   0.3564453E+02
   0.4882812E+00   0.4882812E+00   0.3564453E+02   0.3588867E+02   0.3613281E+02
   0.4882812E+00   0.4882812E+00   0.3613281E+02   0.3637695E+02   0.3662109E+02
   0.4882812E+00   0.4882812E+00   0.3662109E+02   0.3686523E+02   0.3710938E+02
   0.4882812E+00   0.4882812E+00   0.3710938E+02   0.3735352E+02   0.3759766E+02
   0.4882812E+00   0.4882812E+00   0.3759766E+02   0.3784180E+02   0.3808594E+02
   0.4882812E+00   0.4882812E+00   0.3808594E+02   0.3833008E+02   0.3857422E+02
   0.4882812E+00   0.4882812E+00   0.3857422E+02   0.3881836E+02   0.3906250E+02
   0.4882812E+00   0.4882812E+00   0.3906250E+02   0.3930664E+02   0.3955078E+02
   0.4882812E+00   0.4882812E+00   0.3955078E+02   0.3979492E+02   0.4003906E+02
   0.4882812E+00   0.4882812E+00   0.4003906E+02   0.4028320E+02   0.4052734E+02
   0.4882812E+00   0.4882812E+00   0.4052734E+02   0.4077148E+02   0.4101562E+02
   0.4882812E+00   0.4882812E+00   0.4101562E+02   0.4125977E+02   0.4150391E+02
   0.4882812E+00   0.4882812E+00   0.4150391E+02   0.4174805E+02   0.4199219E+02
   0.4882812E+00   0.4882812E+00   0.4199219E+02   0.4223633E+02   0.4248047E+02
   0.4882812E+00   0.4882812E+00   0.4248047E+02   0.4272461E+02   0.4296875E+02
   0.4882812E+00   0.4882812E+00   0.4296875E+02   0.4321289E+02   0.4345703E+02
   0.4882812E+00   0.4882812E+00   0.4345703E+02   0.4370117E+02   0.4394531E+02
   0.4882812E+00   0.4882812E+00   0.4394531E+02   0.4418945E+02   0.4443359E+02
   0.4882812E+00   0.4882812E+00   0.4443359E+02   0.4467773E+02   0.4492188E+02
   0.4882812E+00   0.4882812E+00   0.4492188E+02   0.4516602E+02   0.4541016E+02
   0.4882812E+00   0.4882812E+00   0.4541016E+02   0.4565430E+02   0.4589844E+02
